CumCO2 (on x-axis), blue dots, solid red line, upper dotted red line, lower dotted red line, upper edge of grey patch, lower edge of grey patch  
 32.93,    104, 102.99, 113.70,  92.99, 110.52,  96.13 
 65.64,    109, 103.53, 113.92,  93.85, 110.82,  96.93 
 98.03,    124, 104.08, 114.16,  94.71, 111.15,  97.70 
130.14,     97, 104.63, 114.39,  95.58, 111.46,  98.46 
162.87,    103, 105.18, 114.62,  96.44, 111.79,  99.21 
196.92,     95, 105.76, 114.89,  97.32, 112.16,  99.99 
231.48,     88, 106.35, 115.16,  98.16, 112.51, 100.81 
266.41,     94, 106.95, 115.46,  99.04, 112.89, 101.56 
302.04,    104, 107.56, 115.80,  99.89, 113.25, 102.35 
338.57,     98, 108.19, 116.10, 100.77, 113.63, 103.10 
375.48,    110, 108.82, 116.47, 101.63, 114.02, 103.87 
412.04,    118, 109.43, 116.82, 102.50, 114.41, 104.64 
448.90,    108, 110.07, 117.23, 103.31, 114.84, 105.41 
485.09,     84, 110.69, 117.64, 104.07, 115.28, 106.15 
521.51,     98, 111.30, 118.11, 104.82, 115.74, 106.88 
558.57,    117, 111.93, 118.61, 105.56, 116.21, 107.57 
596.32,    123, 112.56, 119.17, 106.28, 116.73, 108.28 
634.94,    112, 113.22, 119.77, 107.00, 117.28, 108.98 
675.56,    118, 113.90, 120.42, 107.69, 117.87, 109.68 
714.53,    140, 114.55, 121.14, 108.35, 118.45, 110.32 
753.83,    136, 115.20, 121.94, 109.00, 119.10, 110.97 
793.56,     98, 115.86, 122.73, 109.59, 119.83, 111.59 
833.11,    133, 116.51, 123.58, 110.17, 120.59, 112.18 
873.71,    106, 117.18, 124.50, 110.72, 121.35, 112.75 
916.34,    142, 117.88, 125.53, 111.27, 122.19, 113.32 
960.08,    106, 118.59, 126.60, 111.83, 123.11, 113.89 
1004.36,    120, 119.31, 127.72, 112.33, 123.99, 114.48 
1050.06,    133, 120.05, 128.93, 112.84, 124.91, 115.05 
1096.18,    126, 120.80, 130.16, 113.32, 125.90, 115.56 
1143.21,    120, 121.57, 131.45, 113.79, 126.98, 116.11 
1190.08,    112, 122.33, 132.75, 114.24, 128.01, 116.66 
1238.62,    134, 123.13, 134.13, 114.68, 129.17, 117.23 
1288.58,    141, 123.94, 135.55, 115.09, 130.39, 117.71 
1339.13,    123, 124.77, 136.95, 115.51, 131.57, 118.27 
1389.92,    128, 125.60, 138.42, 115.93, 132.81, 118.81 
1441.22,    125, 126.44, 139.90, 116.33, 134.05, 119.33 
1493.22,    153, 127.30, 141.38, 116.72, 135.24, 119.88 
1544.33,    129, 128.15, 142.84, 117.08, 136.47, 120.39 
1595.91,    120, 129.01, 144.36, 117.43, 137.78, 120.87 
1648.27,    124, 129.86, 145.93, 117.79, 139.02, 121.39 
1701.12,    113, 130.74, 147.49, 118.15, 140.30, 121.92 
1751.90,    102, 131.58, 148.99, 118.48, 141.54, 122.42 
